#  Class  1: from  0.21230E-02(included) to    1.0123    (excluded) [J/cm**3 or MPa]
#  Class  2: from   1.0123    (included) to    2.0225    (excluded) [J/cm**3 or MPa]
#  Class  3: from   2.0225    (included) to    3.0327    (excluded) [J/cm**3 or MPa]
#  Class  4: from   3.0327    (included) to    4.0429    (excluded) [J/cm**3 or MPa]
#  Class  5: from   4.0429    (included) to    5.0531    (excluded) [J/cm**3 or MPa]
# Simulation  Temperature    ReX energy     Recryst.    Fraction    Fraction    Fraction    Fraction    Fraction
#  time [s]       [K]           [J]         fraction     class 1     class 2     class 3     class 4     class 5
  0.000000     1000.000      1.0148E+05     0.00000    0.00000   46.89842   26.34535    0.00000   26.75624
 0.5000000      999.500      9.6558E+04     2.90661    0.00000   46.62957   26.16211    0.00000   24.30170
  1.000000      999.000      6.2873E+04    24.00193    0.00000   43.52556   24.29260    0.00000    8.17991
  1.500000      998.500      4.1328E+04    42.03884    0.00000   36.85695   20.60988    0.00000    0.49433
  2.000000      998.000      3.2790E+04    53.52321    0.00000   29.78643   16.67484    0.00000    0.01553
  2.500000      997.500      2.5796E+04    63.60094    0.00000   23.35538   13.04253    0.00000    0.00115
  3.000000      997.000      1.9532E+04    72.59633    0.00000   17.68479    9.71828    0.00000    0.00060
  3.500000      996.500      1.4244E+04    80.09625    0.00000   13.04937    6.85425    0.00000    0.00013
  4.000000      996.000      1.0137E+04    85.83016    0.00000    9.52222    4.64762    0.00000    0.00000
  4.500000      995.500      6.8745E+03    90.40206    0.00000    6.57223    3.02570    0.00000    0.00000
  5.000000      995.000      4.1383E+03    94.18300    0.00000    4.15794    1.65906    0.00000    0.00000
  5.500000      994.500      1.8570E+03    97.31849    0.00000    2.06456    0.61694    0.00000    0.00000
  6.000000      994.000      3.0276E+02    99.58172    0.00000    0.29153    0.12675    0.00000    0.00000
  6.500000      993.500      1.7836E-01    99.99968    0.00000    0.00030    0.00002    0.00000    0.00000
  7.000000      993.000      1.6828E-01    99.99970    0.00000    0.00028    0.00002    0.00000    0.00000
  7.500000      992.500      1.5731E-01    99.99972    0.00000    0.00025    0.00002    0.00000    0.00000
  8.000000      992.000      1.4581E-01    99.99975    0.00000    0.00023    0.00002    0.00000    0.00000
  8.500000      991.500      1.3551E-01    99.99977    0.00000    0.00021    0.00002    0.00000    0.00000
  9.000000      991.000      1.2960E-01    99.99978    0.00000    0.00020    0.00002    0.00000    0.00000
  9.500000      990.500      1.1871E-01    99.99980    0.00000    0.00018    0.00002    0.00000    0.00000
  10.00000      990.000      1.1086E-01    99.99981    0.00000    0.00017    0.00002    0.00000    0.00000
  11.00000      989.000      9.7590E-02    99.99984    0.00000    0.00014    0.00002    0.00000    0.00000
  12.00000      988.000      8.3408E-02    99.99986    0.00000    0.00012    0.00001    0.00000    0.00000
  13.00000      987.000      6.8434E-02    99.99989    0.00000    0.00010    0.00001    0.00000    0.00000
  14.00000      986.000      5.0716E-02    99.99992    0.00000    0.00008    0.00001    0.00000    0.00000
  15.00000      985.000      3.2365E-02    99.99994    0.00000    0.00005    0.00000    0.00000    0.00000
  20.00000      980.000      2.1068E-03   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  25.00000      975.000      0.0000E+00   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  30.00000      970.000      0.0000E+00   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  60.00000      940.000      0.0000E+00   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  90.00000      910.000      0.0000E+00   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  120.0000      880.000      0.0000E+00   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  150.0000      850.000      0.0000E+00   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  180.0000      820.000      0.0000E+00   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  210.0000      790.000      0.0000E+00   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  240.0000      760.000      0.0000E+00   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  270.0000      730.000      0.0000E+00    99.99999    0.00000    0.00000    0.00000    0.00000    0.00000
