#  Class  1: from  0.21230E-02(included) to    1.0123    (excluded) [J/cm**3 or MPa]
#  Class  2: from   1.0123    (included) to    2.0225    (excluded) [J/cm**3 or MPa]
#  Class  3: from   2.0225    (included) to    3.0327    (excluded) [J/cm**3 or MPa]
#  Class  4: from   3.0327    (included) to    4.0429    (excluded) [J/cm**3 or MPa]
#  Class  5: from   4.0429    (included) to    5.0531    (excluded) [J/cm**3 or MPa]
# Simulation  Temperature    ReX energy     Recryst.    Fraction    Fraction    Fraction    Fraction    Fraction
#  time [s]       [K]           [J]         fraction     class 1     class 2     class 3     class 4     class 5
  0.000000     1000.000      1.2761E+05    17.43670    0.00000   45.59088   20.63588    0.00000   16.33653
 0.5000000      999.500      1.2292E+05    19.10879    0.00000   45.42271   20.52266    0.00000   14.94584
  1.000000      999.000      9.0196E+04    31.63854    0.00000   43.37803   19.26765    0.00000    5.71579
  1.500000      998.500      6.6827E+04    43.77654    0.00000   38.68764   16.56133    0.00000    0.97449
  2.000000      998.000      5.4129E+04    53.20428    0.00000   33.19458   13.55025    0.00000    0.05090
  2.500000      997.500      4.4204E+04    61.70326    0.00000   27.64751   10.64851    0.00000    0.00072
  3.000000      997.000      3.5579E+04    69.09860    0.00000   22.78073    8.12058    0.00000    0.00008
  3.500000      996.500      2.7926E+04    75.55910    0.00000   18.64551    5.79537    0.00000    0.00002
  4.000000      996.000      2.1539E+04    80.82386    0.00000   15.38805    3.78809    0.00000    0.00000
  4.500000      995.500      1.6262E+04    85.18331    0.00000   12.58125    2.23544    0.00000    0.00000
  5.000000      995.000      1.1896E+04    88.82457    0.00000   10.08968    1.08575    0.00000    0.00000
  5.500000      994.500      8.2728E+03    91.89643    0.00000    7.83164    0.27194    0.00000    0.00000
  6.000000      994.000      5.9028E+03    94.08145    0.00000    5.91855    0.00000    0.00000    0.00000
  6.500000      993.500      4.6372E+03    95.35034    0.00000    4.64966    0.00000    0.00000    0.00000
  7.000000      993.000      3.4937E+03    96.49720    0.00000    3.50280    0.00000    0.00000    0.00000
  7.500000      992.500      2.4034E+03    97.59089    0.00000    2.40911    0.00000    0.00000    0.00000
  8.000000      992.000      1.4002E+03    98.59724    0.00000    1.40276    0.00000    0.00000    0.00000
  8.500000      991.500      7.0250E+02    99.29703    0.00000    0.70297    0.00000    0.00000    0.00000
  9.000000      991.000      2.7240E+02    99.72760    0.00000    0.27240    0.00000    0.00000    0.00000
  9.500000      990.500      5.0151E+01    99.94985    0.00000    0.05015    0.00000    0.00000    0.00000
  10.00000      990.000      7.6174E-03    99.99999    0.00000    0.00001    0.00000    0.00000    0.00000
  11.00000      989.000      7.9187E-03    99.99999    0.00000    0.00001    0.00000    0.00000    0.00000
  12.00000      988.000      3.1950E-03   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  13.00000      987.000      4.0269E-03   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  14.00000      986.000      2.9152E-03   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  15.00000      985.000      8.7767E-03    99.99999    0.00000    0.00001    0.00000    0.00000    0.00000
  20.00000      980.000      4.6114E-03    99.99999    0.00000    0.00001    0.00000    0.00000    0.00000
  25.00000      975.000      6.4678E-03    99.99999    0.00000    0.00001    0.00000    0.00000    0.00000
  30.00000      970.000      3.4830E-03   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  60.00000      940.000      0.0000E+00   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  90.00000      910.000      0.0000E+00   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  120.0000      880.000      0.0000E+00    99.99999    0.00000    0.00000    0.00000    0.00000    0.00000
  150.0000      850.000      0.0000E+00    99.99999    0.00000    0.00000    0.00000    0.00000    0.00000
  180.0000      820.000      0.0000E+00    99.99996    0.00000    0.00000    0.00000    0.00000    0.00000
  210.0000      790.000      0.0000E+00    99.99999    0.00000    0.00000    0.00000    0.00000    0.00000
  240.0000      760.000      0.0000E+00   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  270.0000      730.000      0.0000E+00    99.99998    0.00000    0.00000    0.00000    0.00000    0.00000
