#  Class  1: from  0.21230E-02(included) to    1.0123    (excluded) [J/cm**3 or MPa]
#  Class  2: from   1.0123    (included) to    2.0225    (excluded) [J/cm**3 or MPa]
#  Class  3: from   2.0225    (included) to    3.0327    (excluded) [J/cm**3 or MPa]
#  Class  4: from   3.0327    (included) to    4.0429    (excluded) [J/cm**3 or MPa]
#  Class  5: from   4.0429    (included) to    5.0531    (excluded) [J/cm**3 or MPa]
# Simulation  Temperature    ReX energy     Recryst.    Fraction    Fraction    Fraction    Fraction    Fraction
#  time [s]       [K]           [J]         fraction     class 1     class 2     class 3     class 4     class 5
  0.000000     1200.000      1.2761E+05    17.43670    0.00000   45.59088   20.63588    0.00000   16.33653
 0.5000000     1199.500      1.2761E+05    17.43670    0.00000   45.59088   20.63582    0.00000   16.33660
  1.000000     1199.000      1.2761E+05    17.43670    0.00000   45.59089   20.63575    0.00000   16.33666
  1.500000     1198.500      1.2761E+05    17.43670    0.00000   45.59089   20.63569    0.00000   16.33672
  2.000000     1198.000      1.2761E+05    17.43670    0.00000   45.59089   20.63562    0.00000   16.33678
  2.500000     1197.500      1.2761E+05    17.43670    0.00000   45.59089   20.63555    0.00000   16.33685
  3.000000     1197.000      1.2761E+05    17.43670    0.00000   45.59089   20.63549    0.00000   16.33691
  3.500000     1196.500      1.2761E+05    17.43670    0.00000   45.59090   20.63542    0.00000   16.33698
  4.000000     1196.000      1.2761E+05    17.43670    0.00000   45.59090   20.63535    0.00000   16.33705
  4.500000     1195.500      1.2761E+05    17.43670    0.00000   45.59090   20.63528    0.00000   16.33711
  5.000000     1195.000      1.2761E+05    17.43670    0.00000   45.59090   20.63521    0.00000   16.33718
  5.500000     1194.500      1.2762E+05    17.43670    0.00000   45.59090   20.63515    0.00000   16.33725
  6.000000     1194.000      1.2762E+05    17.43670    0.00000   45.59090   20.63507    0.00000   16.33732
  6.500000     1193.500      1.2762E+05    17.43670    0.00000   45.59091   20.63500    0.00000   16.33738
  7.000000     1193.000      1.2762E+05    17.43670    0.00000   45.59091   20.63493    0.00000   16.33745
  7.500000     1192.500      1.2762E+05    17.43670    0.00000   45.59091   20.63486    0.00000   16.33752
  8.000000     1192.000      1.2762E+05    17.43670    0.00000   45.59091   20.63479    0.00000   16.33759
  8.500000     1191.500      1.2762E+05    17.43670    0.00000   45.59092   20.63472    0.00000   16.33766
  9.000000     1191.000      1.2762E+05    17.43670    0.00000   45.59092   20.63464    0.00000   16.33773
  9.500000     1190.500      1.2762E+05    17.43670    0.00000   45.59092   20.63457    0.00000   16.33780
  10.00000     1190.000      1.2762E+05    17.43670    0.00000   45.59093   20.63450    0.00000   16.33787
  11.00000     1189.000      1.2762E+05    17.43670    0.00000   45.59093   20.63435    0.00000   16.33801
  12.00000     1188.000      1.2762E+05    17.43670    0.00000   45.59093   20.63421    0.00000   16.33815
  13.00000     1187.000      1.2762E+05    17.43670    0.00000   45.59094   20.63406    0.00000   16.33830
  14.00000     1186.000      1.2762E+05    17.43670    0.00000   45.59094   20.63391    0.00000   16.33844
  15.00000     1185.000      1.2762E+05    17.43670    0.00000   45.59094   20.63377    0.00000   16.33859
  20.00000     1180.000      1.2762E+05    17.43670    0.00000   45.59094   20.63302    0.00000   16.33934
  25.00000     1175.000      1.2762E+05    17.43670    0.00000   45.59094   20.63226    0.00000   16.34010
  30.00000     1170.000      1.2762E+05    17.43670    0.00000   45.59094   20.63150    0.00000   16.34086
  60.00000     1140.000      1.2763E+05    17.43670    0.00000   45.59098   20.62690    0.00000   16.34542
  90.00000     1110.000      1.2763E+05    17.43670    0.00000   45.59100   20.62247    0.00000   16.34982
  120.0000     1080.000      1.2764E+05    17.43670    0.00000   45.59101   20.61804    0.00000   16.35424
  150.0000     1050.000      1.2765E+05    17.43670    0.00000   45.59094   20.61361    0.00000   16.35875
  180.0000     1020.000      1.2765E+05    17.43670    0.00000   45.59115   20.60922    0.00000   16.36293
  210.0000      990.000      0.0000E+00   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  240.0000      960.000      0.0000E+00   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  270.0000      930.000      0.0000E+00   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
