# Mobility Coefficient #
#======================#
#Temp.       Coef.      
#[K]         [J/cm**2]
#======================#
880.000      1.4625E+06
879.500      1.4625E+06
879.000      1.4625E+06
878.500      1.4625E+06
878.000      1.4623E+06
877.971      1.4622E+06
877.500      1.4619E+06
877.000      1.4612E+06
876.500      1.4597E+06
876.000      1.4574E+06
875.500      1.4540E+06
875.000      1.4494E+06
874.000      1.4362E+06
873.000      1.4174E+06
872.000      1.3931E+06
871.000      1.3635E+06
870.000      1.3296E+06
869.000      1.2917E+06
868.000      1.2502E+06
867.000      1.2052E+06
866.000      1.1573E+06
865.000      1.1069E+06
864.000      1.0539E+06
863.000      9.9881E+05
862.000      9.4214E+05
861.000      8.8456E+05
860.000      8.2648E+05
855.000      5.5180E+05
850.000      3.3305E+05
845.000      1.8579E+05
840.000      9.6374E+04
835.000      4.6312E+04
830.000      1.6164E+04
825.000      5.3539E+03
820.000      7.1203E+02
800.000      6.6740E+00
780.000      6.6728E+00
###=================###
