1118   0.00000077	#1395 done
1105   0.00000070 	#3345
1093   0.00000050	#7635 done
1080   0.00000000	#4905
1067   0.00000045	#8805 done
1054   0.00000045	#1785 done
1042   0.00000043	#2565 done
1029   0.00000042	#6855 
1016   0.00000042	#4515
1003   0.00000042	#6075 done
 991   0.00000041	#2955 	here
 978   0.00000041	#5685
 965   0.00000041	#5295
 952   0.00000040	#2175 done
 940   0.00000000	#4125
 927   0.00000000	#3735
 914   0.00000000	#6465
 901   0.00000033	#8415 	here
 889   0.00000032	#7245
 876   0.00000030	#8025 done
