#  Class  1: from  0.15356E-02(included) to   0.28071    (excluded) [J/cm**3 or MPa]
#  Class  2: from  0.28071    (included) to   0.55988    (excluded) [J/cm**3 or MPa]
#  Class  3: from  0.55988    (included) to   0.83904    (excluded) [J/cm**3 or MPa]
#  Class  4: from  0.83904    (included) to    1.1182    (excluded) [J/cm**3 or MPa]
#  Class  5: from   1.1182    (included) to    1.3974    (excluded) [J/cm**3 or MPa]
# Simulation  Temperature   ReX energy    Stress    Recryst.    Fraction    Fraction    Fraction    Fraction    Fraction
#  time [s]       [K]           [J]        [MPa]    fraction     class 1     class 2     class 3     class 4     class 5
  0.000000      900.000      3.4935E+05  1.8121E+02      0.00000    0.00000    0.00000    0.00000    0.00000  100.00000
 0.5000000      900.000      3.4935E+05  1.8121E+02      0.00000    0.00000    0.00000    0.00000    0.00000  100.00000
  1.000000      900.000      3.4935E+05  1.8121E+02      0.00000    0.00000    0.00000    0.00000    0.00000  100.00000
  1.500000      900.000      3.4935E+05  1.8121E+02      0.00000    0.00000    0.00000    0.00000    0.00000  100.00000
  2.000000      900.000      3.4928E+05  1.8118E+02      0.00000    0.01782    0.00000    0.00000    0.00000   99.98218
  2.001375      900.000      3.4928E+05  1.8118E+02      0.00000    0.01781    0.00000    0.00000    0.00000   99.98219
  2.500000      900.000      3.4649E+05  1.7978E+02      0.00000    0.81976    0.00000    0.00000    0.00000   99.18024
  3.000000      900.000      3.3602E+05  1.7453E+02      0.00000    3.81772    0.00000    0.00000    0.00000   96.18228
  3.500000      900.000      3.1709E+05  1.6502E+02      0.00000    9.24403    0.00000    0.00000    0.00000   90.75597
  4.000000      900.000      2.9140E+05  1.5212E+02      0.00000   16.60427    0.00000    0.00000    0.00000   83.39573
  4.500000      900.000      2.6100E+05  1.3686E+02      0.00000   25.31675    0.00000    0.00000    0.00000   74.68325
  5.000000      900.000      2.2762E+05  1.2010E+02      0.00000   34.88275    0.00000    0.00000    0.00000   65.11725
  6.000000      900.000      1.5996E+05  8.6126E+01      0.00000   54.27209    0.00000    0.00000    0.00000   45.72791
  7.000000      900.000      1.0222E+05  5.7139E+01      0.00000   70.81643    0.00000    0.00000    0.00000   29.18357
  8.000000      900.000      5.7455E+04  3.4662E+01      0.00000   83.64543    0.00000    0.00000    0.00000   16.35457
  9.000000      900.000      2.6003E+04  1.8870E+01      0.00000   92.65854    0.00000    0.00000    0.00000    7.34146
  10.00000      900.000      9.8092E+03  1.0739E+01      0.00000   97.29906    0.00000    0.00000    0.00000    2.70094
  11.00000      900.000      3.4546E+03  7.5489E+00      0.00000   99.12004    0.00000    0.00000    0.00000    0.87996
  12.00000      900.000      1.0346E+03  6.3339E+00      0.00000   99.81353    0.00000    0.00000    0.00000    0.18647
  13.00000      900.000      3.8390E+02  6.0072E+00      0.00000  100.00000    0.00000    0.00000    0.00000    0.00000
  14.00000      900.000      3.8390E+02  6.0072E+00      0.00000  100.00000    0.00000    0.00000    0.00000    0.00000
  15.00000      900.000      3.8390E+02  6.0072E+00      0.00000  100.00000    0.00000    0.00000    0.00000    0.00000
  16.00000      900.000      3.8390E+02  6.0072E+00      0.00000  100.00000    0.00000    0.00000    0.00000    0.00000
  17.00000      900.000      3.8390E+02  6.0072E+00      0.00000  100.00000    0.00000    0.00000    0.00000    0.00000
  18.00000      900.000      3.8390E+02  6.0072E+00      0.00000  100.00000    0.00000    0.00000    0.00000    0.00000
  19.00000      900.000      3.8390E+02  6.0072E+00      0.00000  100.00000    0.00000    0.00000    0.00000    0.00000
  20.00000      900.000      3.8390E+02  6.0072E+00      0.00000  100.00000    0.00000    0.00000    0.00000    0.00000
  25.00000      900.000      3.8390E+02  6.0072E+00      0.00000  100.00000    0.00000    0.00000    0.00000    0.00000
  30.00000      900.000      3.8390E+02  6.0072E+00      0.00000  100.00000    0.00000    0.00000    0.00000    0.00000
  35.00000      900.000      3.8390E+02  6.0072E+00      0.00000  100.00000    0.00000    0.00000    0.00000    0.00000
  40.00000      900.000      3.8390E+02  6.0072E+00      0.00000  100.00000    0.00000    0.00000    0.00000    0.00000
  45.00000      900.000      3.8390E+02  6.0072E+00      0.00000  100.00000    0.00000    0.00000    0.00000    0.00000
  50.00000      900.000      3.8390E+02  6.0072E+00      0.00000  100.00000    0.00000    0.00000    0.00000    0.00000
  55.00000      900.000      3.8390E+02  6.0072E+00      0.00000  100.00000    0.00000    0.00000    0.00000    0.00000
  60.00000      900.000      3.8390E+02  6.0072E+00      0.00000  100.00000    0.00000    0.00000    0.00000    0.00000
  80.00000      900.000      3.8390E+02  6.0072E+00      0.00000  100.00000    0.00000    0.00000    0.00000    0.00000
  100.0000      900.000      3.8390E+02  6.0072E+00      0.00000  100.00000    0.00000    0.00000    0.00000    0.00000
  120.0000      900.000      3.8390E+02  6.0072E+00      0.00000  100.00000    0.00000    0.00000    0.00000    0.00000
  140.0000      900.000      3.8390E+02  6.0072E+00      0.00000  100.00000    0.00000    0.00000    0.00000    0.00000
  160.0000      900.000      3.8390E+02  6.0072E+00      0.00000  100.00000    0.00000    0.00000    0.00000    0.00000
