#  Class  1: from  0.21230E-02(included) to    1.0123    (excluded) [J/cm**3 or MPa]
#  Class  2: from   1.0123    (included) to    2.0225    (excluded) [J/cm**3 or MPa]
#  Class  3: from   2.0225    (included) to    3.0327    (excluded) [J/cm**3 or MPa]
#  Class  4: from   3.0327    (included) to    4.0429    (excluded) [J/cm**3 or MPa]
#  Class  5: from   4.0429    (included) to    5.0531    (excluded) [J/cm**3 or MPa]
# Simulation  Temperature    ReX energy     Recryst.    Fraction    Fraction    Fraction    Fraction    Fraction
#  time [s]       [K]           [J]         fraction     class 1     class 2     class 3     class 4     class 5
  0.000000      890.000      1.0149E+05     0.00000    0.00000   46.89760   26.34122    0.00000   26.76118
  1.000000      889.000      1.0149E+05     0.00000    0.00000   46.89752   26.34089    0.00000   26.76159
  2.000000      888.000      1.0140E+05     0.06667    0.00000   46.87646   26.33435    0.00000   26.72253
  2.000989      887.999      1.0140E+05     0.06653    0.00000   46.87652   26.33437    0.00000   26.72258
  3.000000      887.000      7.9701E+04    14.70269    0.00000   43.84577   24.34426    0.00000   17.10728
  4.000000      886.000      7.1030E+04    25.01538    0.00000   37.87927   21.34056    0.00000   15.76479
  5.000000      885.000      5.9266E+04    37.31361    0.00000   31.67579   17.97374    0.00000   13.03685
  6.000000      884.000      4.2286E+04    52.76564    0.00000   25.70462   13.43437    0.00000    8.09537
  7.000000      883.000      2.7487E+04    67.51284    0.00000   20.21125    7.13281    0.00000    5.14310
  8.000000      882.000      1.4150E+04    80.37738    0.00000   15.78952    1.54507    0.00000    2.28802
  9.000000      881.000      9.1716E+03    87.16332    0.00000   10.96145    0.00000    0.00000    1.87523
  10.00000      880.000      7.4953E+03    90.31454    0.00000    7.81029    0.00000    0.00000    1.87517
  11.00000      879.000      6.4473E+03    92.42918    0.00000    5.69571    0.00000    0.00000    1.87511
  12.00000      878.000      5.4674E+03    94.35911    0.00000    3.76583    0.00000    0.00000    1.87506
  13.00000      877.000      4.3396E+03    96.23889    0.00000    1.98821    0.00000    0.00000    1.77289
  14.00000      876.000      2.2854E+03    98.52937    0.00000    0.31668    0.00000    0.00000    1.15395
  15.00000      875.000      5.2287E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  16.00000      874.000      5.2281E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  17.00000      873.000      5.2275E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  18.00000      872.000      5.2269E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  19.00000      871.000      5.2263E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  20.00000      870.000      5.2258E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  25.00000      865.000      5.2226E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  30.00000      860.000      5.2198E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  35.00000      855.000      5.2173E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  40.00000      850.000      5.2151E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  45.00000      845.000      5.2125E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  50.00000      840.000      5.2104E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  55.00000      835.000      5.2087E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  60.00000      830.000      5.2071E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  80.00000      810.000      5.2020E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  100.0000      790.000      5.1992E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  120.0000      770.000      5.1974E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  140.0000      750.000      5.1962E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  160.0000      730.000      5.1955E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  180.0000      710.000      5.1950E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  200.0000      690.000      5.1947E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  220.0000      670.000      5.1945E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  240.0000      650.000      5.1944E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  260.0000      630.000      5.1943E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  280.0000      610.000      5.1941E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
  300.0000      590.000      5.1939E-01   100.00000    0.00000    0.00000    0.00000    0.00000    0.00000
