 #  Simulation   Avg. radius    Gr. density      Number of   Liquid        Phase 1
 #   time [s]   [micrometer]  [micrometer**(-2)]  grains     present?     n.  avg. r.
 # NB: the radii are calculated from the average fractions
   0.0000       11.680          2.33333E-03       210      No-Liquid    210  11.67983
  1.28363E-02   11.680          2.33333E-03       210      No-Liquid    210  11.67983
  0.29454       11.708          2.32222E-03       209      No-Liquid    209  11.70774
  0.78648       11.736          2.31111E-03       208      No-Liquid    208  11.73585
  0.91324       11.764          2.30000E-03       207      No-Liquid    207  11.76417
   1.0322       11.793          2.28889E-03       206      No-Liquid    206  11.79269
   1.3682       11.821          2.27778E-03       205      No-Liquid    205  11.82141
   1.6605       11.850          2.26667E-03       204      No-Liquid    204  11.85035
   1.9621       11.880          2.25556E-03       203      No-Liquid    203  11.87950
   2.0744       11.909          2.24444E-03       202      No-Liquid    202  11.90887
   2.1494       11.938          2.23333E-03       201      No-Liquid    201  11.93846
   2.4897       11.998          2.21111E-03       199      No-Liquid    199  11.99830
   2.5452       12.029          2.20000E-03       198      No-Liquid    198  12.02856
   2.5624       12.059          2.18889E-03       197      No-Liquid    197  12.05905
   2.6590       12.090          2.17778E-03       196      No-Liquid    196  12.08978
   2.7060       12.121          2.16667E-03       195      No-Liquid    195  12.12074
   2.7659       12.152          2.15556E-03       194      No-Liquid    194  12.15194
   2.8416       12.183          2.14444E-03       193      No-Liquid    193  12.18338
   2.9802       12.215          2.13333E-03       192      No-Liquid    192  12.21506
   3.0725       12.247          2.12222E-03       191      No-Liquid    191  12.24700
   3.0803       12.279          2.11111E-03       190      No-Liquid    190  12.27918
   3.2108       12.312          2.10000E-03       189      No-Liquid    189  12.31163
   3.8724       12.344          2.08889E-03       188      No-Liquid    188  12.34433
   4.1980       12.377          2.07778E-03       187      No-Liquid    187  12.37729
   4.2851       12.411          2.06667E-03       186      No-Liquid    186  12.41052
   4.3132       12.444          2.05556E-03       185      No-Liquid    185  12.44401
   4.3230       12.478          2.04444E-03       184      No-Liquid    184  12.47778
   4.4551       12.512          2.03333E-03       183      No-Liquid    183  12.51183
   4.7630       12.546          2.02222E-03       182      No-Liquid    182  12.54615
   4.8717       12.581          2.01111E-03       181      No-Liquid    181  12.58076
   5.0453       12.616          2.00000E-03       180      No-Liquid    180  12.61566
   5.1176       12.651          1.98889E-03       179      No-Liquid    179  12.65085
   5.1921       12.686          1.97778E-03       178      No-Liquid    178  12.68634
   5.4230       12.722          1.96667E-03       177      No-Liquid    177  12.72213
   5.5604       12.758          1.95556E-03       176      No-Liquid    176  12.75822
   5.7546       12.795          1.94444E-03       175      No-Liquid    175  12.79462
   6.0005       12.831          1.93333E-03       174      No-Liquid    174  12.83133
   6.2590       12.868          1.92222E-03       173      No-Liquid    173  12.86836
   6.2675       12.906          1.91111E-03       172      No-Liquid    172  12.90572
   6.2747       12.943          1.90000E-03       171      No-Liquid    171  12.94340
   6.7784       12.981          1.88889E-03       170      No-Liquid    170  12.98141
   6.9323       13.058          1.86667E-03       168      No-Liquid    168  13.05845
   6.9998       13.097          1.85556E-03       167      No-Liquid    167  13.09749
   7.0424       13.137          1.84444E-03       166      No-Liquid    166  13.13688
   7.1384       13.177          1.83333E-03       165      No-Liquid    165  13.17663
   7.1637       13.217          1.82222E-03       164      No-Liquid    164  13.21674
   7.3849       13.257          1.81111E-03       163      No-Liquid    163  13.25722
   7.4030       13.298          1.80000E-03       162      No-Liquid    162  13.29808
   7.5439       13.339          1.78889E-03       161      No-Liquid    161  13.33931
   7.6956       13.381          1.77778E-03       160      No-Liquid    160  13.38093
   7.7136       13.423          1.76667E-03       159      No-Liquid    159  13.42294
   7.7843       13.465          1.75556E-03       158      No-Liquid    158  13.46535
   8.0767       13.508          1.74444E-03       157      No-Liquid    157  13.50817
   8.3256       13.551          1.73333E-03       156      No-Liquid    156  13.55140
   8.3455       13.595          1.72222E-03       155      No-Liquid    155  13.59504
   8.7064       13.639          1.71111E-03       154      No-Liquid    154  13.63911
   8.7527       13.684          1.70000E-03       153      No-Liquid    153  13.68361
   8.9772       13.729          1.68889E-03       152      No-Liquid    152  13.72855
   9.0984       13.774          1.67778E-03       151      No-Liquid    151  13.77393
   9.2023       13.820          1.66667E-03       150      No-Liquid    150  13.81977
   9.2093       13.866          1.65556E-03       149      No-Liquid    149  13.86606
   9.2825       13.913          1.64444E-03       148      No-Liquid    148  13.91283
   9.4893       13.960          1.63333E-03       147      No-Liquid    147  13.96007
   9.5152       14.008          1.62222E-03       146      No-Liquid    146  14.00780
   9.7563       14.056          1.61111E-03       145      No-Liquid    145  14.05602
   9.8514       14.105          1.60000E-03       144      No-Liquid    144  14.10474
   10.319       14.154          1.58889E-03       143      No-Liquid    143  14.15397
   10.617       14.204          1.57778E-03       142      No-Liquid    142  14.20372
   10.711       14.254          1.56667E-03       141      No-Liquid    141  14.25400
   10.827       14.305          1.55556E-03       140      No-Liquid    140  14.30482
   10.875       14.408          1.53333E-03       138      No-Liquid    138  14.40810
   10.886       14.461          1.52222E-03       137      No-Liquid    137  14.46059
   10.926       14.514          1.51111E-03       136      No-Liquid    136  14.51366
   11.060       14.567          1.50000E-03       135      No-Liquid    135  14.56731
   11.176       14.622          1.48889E-03       134      No-Liquid    134  14.62157
   11.998       14.676          1.47778E-03       133      No-Liquid    133  14.67643
   12.722       14.732          1.46667E-03       132      No-Liquid    132  14.73192
   12.760       14.788          1.45556E-03       131      No-Liquid    131  14.78804
   12.831       14.845          1.44444E-03       130      No-Liquid    130  14.84481
   13.157       14.902          1.43333E-03       129      No-Liquid    129  14.90224
   13.453       14.960          1.42222E-03       128      No-Liquid    128  14.96034
   13.477       15.019          1.41111E-03       127      No-Liquid    127  15.01912
   13.576       15.079          1.40000E-03       126      No-Liquid    126  15.07860
   13.943       15.139          1.38889E-03       125      No-Liquid    125  15.13880
   14.498       15.200          1.37778E-03       124      No-Liquid    124  15.19972
   14.551       15.324          1.35556E-03       122      No-Liquid    122  15.32380
   14.688       15.387          1.34444E-03       121      No-Liquid    121  15.38699
   14.731       15.451          1.33333E-03       120      No-Liquid    120  15.45097
   14.864       15.516          1.32222E-03       119      No-Liquid    119  15.51575
   14.924       15.581          1.31111E-03       118      No-Liquid    118  15.58136
   15.153       15.648          1.30000E-03       117      No-Liquid    117  15.64780
