# Simulation     CPU Time      Wallclock      TQ Time       PF Time      Diff Time      ATC Time     List Time     Seed Time   Enthalpy Time  Volume Time    Stress Time   Temp1d Time    Temp Time     Flow Time  Expansion Time
#  time [s]        [s]         Time [s]         [s]           [s]           [s]           [s]           [s]           [s]           [s]           [s]           [s]           [s]           [s]          [s]
  0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
 0.1083608     0.2031250     0.2190000      0.000000     0.6300000E-01  0.000000      0.000000     0.1560000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
 0.2091823     0.3593750     0.3750000      0.000000     0.1250000      0.000000      0.000000     0.2500000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
 0.3092280     0.5312500     0.5470000      0.000000     0.2200000      0.000000      0.000000     0.3270000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
 0.4024702     0.6562500     0.6720000      0.000000     0.2820000      0.000000      0.000000     0.3900000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
 0.5038190     0.7812500     0.7970000      0.000000     0.3600000      0.000000      0.000000     0.4210000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
 0.6086116     0.9375000     0.9530000      0.000000     0.4230000      0.000000      0.000000     0.4980000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
 0.7070747      1.093750      1.110000      0.000000     0.5010000      0.000000      0.000000     0.5610000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
 0.8003162      1.218750      1.235000      0.000000     0.5640000      0.000000      0.000000     0.6230000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
 0.9015644      1.343750      1.360000      0.000000     0.6250000      0.000000      0.000000     0.6870000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  1.006230      1.468750      1.485000      0.000000     0.6250000      0.000000      0.000000     0.7970000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  1.111451      1.593750      1.610000      0.000000     0.6860000      0.000000      0.000000     0.8610000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  1.201920      1.718750      1.735000      0.000000     0.7480000      0.000000      0.000000     0.9240000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  1.302132      1.859375      1.875000      0.000000     0.7950000      0.000000      0.000000      1.002000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  1.407247      2.000000      2.016000      0.000000     0.8740000      0.000000      0.000000      1.033000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  1.512206      2.125000      2.141000      0.000000     0.9220000      0.000000      0.000000      1.095000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  1.603052      2.250000      2.266000      0.000000      1.000000      0.000000      0.000000      1.142000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  1.710108      2.390625      2.407000      0.000000      1.078000      0.000000      0.000000      1.205000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  1.804349      2.531250      2.547000      0.000000      1.141000      0.000000      0.000000      1.267000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  1.900876      2.671875      2.688000      0.000000      1.204000      0.000000      0.000000      1.345000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  2.005589      2.812500      2.828000      0.000000      1.282000      0.000000      0.000000      1.407000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  2.100897      2.953125      2.969000      0.000000      1.314000      0.000000      0.000000      1.516000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  2.214682      3.062500      3.078000      0.000000      1.329000      0.000000      0.000000      1.610000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  2.301154      3.187500      3.203000      0.000000      1.345000      0.000000      0.000000      1.704000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  2.409087      3.328125      3.344000      0.000000      1.407000      0.000000      0.000000      1.783000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  2.509130      3.453125      3.469000      0.000000      1.470000      0.000000      0.000000      1.829000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  2.609268      3.578125      3.594000      0.000000      1.532000      0.000000      0.000000      1.860000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  2.706043      3.703125      3.732000      0.000000      1.577000      0.000000      0.000000      1.912000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
